date,Australia,China,Denmark,Canada,France,United Kingdom,India
2020-01-22,0,548,0,0,0,0,0
2020-01-23,0,643,0,0,0,0,0
2020-01-24,0,920,0,0,2,0,0
2020-01-25,0,1406,0,0,3,0,0
2020-01-26,4,2075,0,1,3,0,0
2020-01-27,5,2877,0,1,3,0,0
2020-01-28,5,5509,0,2,4,0,0
2020-01-29,6,6087,0,2,5,0,0
2020-01-30,9,8141,0,2,5,0,1
2020-01-31,9,9802,0,4,5,2,1
2020-02-01,12,11891,0,4,6,2,1
2020-02-02,12,16630,0,4,6,2,2
2020-02-03,12,19716,0,4,6,8,3
2020-02-04,13,23707,0,4,6,8,3
2020-02-05,13,27440,0,5,6,9,3
2020-02-06,14,30587,0,5,6,9,3
2020-02-07,15,34110,0,7,6,9,3
2020-02-08,15,36814,0,7,11,13,3
2020-02-09,15,39829,0,7,11,14,3
2020-02-10,15,42354,0,7,11,14,3
2020-02-11,15,44386,0,7,11,15,3
2020-02-12,15,44759,0,7,11,16,3
2020-02-13,15,59895,0,7,11,17,3
2020-02-14,15,66358,0,7,11,18,3
2020-02-15,15,68413,0,7,12,18,3
2020-02-16,15,70513,0,7,12,18,3
2020-02-17,15,72434,0,8,12,19,3
2020-02-18,15,74211,0,8,12,19,3
2020-02-19,15,74619,0,8,12,20,3
2020-02-20,15,75077,0,8,12,22,3
2020-02-21,15,75550,0,9,12,23,3
2020-02-22,15,77001,0,9,12,23,3
2020-02-23,15,77022,0,9,12,28,3
2020-02-24,15,77241,0,10,12,30,3
2020-02-25,15,77754,0,11,14,34,3
2020-02-26,15,78166,0,11,18,37,3
2020-02-27,15,78600,1,13,38,44,3
2020-02-28,15,78928,1,14,57,56,3
2020-02-29,25,79356,3,20,100,61,3
2020-03-01,27,79932,4,24,130,94,3
2020-03-02,30,80136,4,27,191,134,5
2020-03-03,39,80261,6,30,204,189,5
2020-03-04,52,80386,11,33,288,246,28
2020-03-05,55,80537,11,37,380,295,30
2020-03-06,60,80690,24,49,656,374,31
2020-03-07,63,80770,24,54,959,429,34
2020-03-08,76,80823,37,64,1136,483,39
2020-03-09,91,80860,92,77,1219,630,43
2020-03-10,107,80887,264,79,1794,889,56
2020-03-11,128,80921,444,108,2293,1301,62
2020-03-12,128,80932,617,117,2293,1790,73
2020-03-13,200,80945,804,193,3681,2270,82
2020-03-14,250,80977,836,198,4496,2634,102
2020-03-15,297,81003,875,252,4532,3077,113
2020-03-16,377,81033,933,415,6683,3692,119
2020-03-17,452,81058,1025,478,7715,4462,142
2020-03-18,568,81102,1116,657,9124,5467,156
2020-03-19,681,81156,1225,800,10970,6533,194
2020-03-20,791,81250,1337,943,12758,7791,244
2020-03-21,1071,81305,1420,1277,14463,9006,330
2020-03-22,1549,81435,1514,1469,16243,10395,396
2020-03-23,1682,81498,1572,2088,20123,12744,499
2020-03-24,2044,81591,1718,2790,22622,15126,536
